Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4418.057 4418.0556 22634.38 500 "" "" "" "18.57583601  -   21.3821429" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).7d  | 2[5/2]* | 3" "" "" L3469
4421.799 4421.8317 22615.23 10 "" "" "" "18.38162323  -   21.18553364" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 2" "" "" L3469
4422.7969 4422.7957 22610.127 500 "" "" "" "18.38162323  -   21.18492247" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L4498
4423.7624 4423.761 22605.1925 3000 "" "" "" "18.38162323  -   21.18431077" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L3451
4426.049 4426.0477 22593.514 3000 "" "" "" "18.38162323  -   21.18286278" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 1" "" "" L4498
4426.6426 4426.6426 22590.484 1500 "" "" "" "18.38162323  -   21.1824863" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 0" "" "" L7292
4428.998 4428.959 22578.47 300 "" "" "" "18.69335943  -   21.492758" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 1" "" "" L3469
4429.224 4429.218 22577.32 150 "" "" "" "18.69335943  -   21.492594" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9d  | 2[5/2]* | 2" "" "" L3469
4430.654 4430.649 22570.03 10 "" "" "" "18.72638145  -   21.524712" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2" "" "" L3469
4433.7611 4433.7587 22554.215 200 "" "" "" "18.55510805  -   21.3514758" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).8d  | 2[5/2]* | 3" "" "" L4498
4434.643 4434.6427 22549.73 100 "" "" "" "18.55510805  -   21.3509183" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2" "" "" L3469
4434.9687 4434.9686 22548.0733 700 "" "" "" "18.55510805  -   21.35071290" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).8d  | 2[7/2]* | 4" "" "" L3451
4436.339 4436.333 22541.11 50 "" "" "" "18.63679156  -   21.431537" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 1" "" "" L3469
4441.61 4441.614 22514.36 150 "" "" "" "18.63679156  -   21.428214" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[5/2]* | 2" "" "" L3469
4441.61 4441.604 22514.36 150 "" "" "" "18.63679156  -   21.428220" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[5/2]* | 3" "" "" L3469
4442.059 4442.062 22512.08 20 "" "" "" "18.63679156  -   21.427932" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[3/2]* | 2" "" "" L3469
4442.137 4442.176 22511.69 10 "" "" "" "18.63679156  -   21.427860" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[7/2]* | 3" "" "" L3469
4446.226 4446.221 22490.99 300 "" "" "" "18.70407118  -   21.492601" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).9d  | 2[5/2]* | 3" "" "" L3469
4446.919 4446.945 22487.48 10 "" "" "" "18.69335943  -   21.481435" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 1" "" "" L3469
4447.786 4447.78 22483.1 10 "" "" "" "18.69335943  -   21.480912" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 0" "" "" L3469
4454.233 4454.238 22450.55 150 "" "" "" "18.61270528  -   21.396216" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[5/2]* | 2" "" "" L3469
4454.503 4454.494 22449.19 50 "" "" "" "18.61270528  -   21.396056" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 1" "" "" L3469
4454.574 4454.593 22448.84 20 "" "" "" "18.63679156  -   21.420080" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 1" "" "" L3469
4454.778 4454.778 22447.81 10 "" "" "" "18.61270528  -   21.395879" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 2" "" "" L3469
4455.535 4455.542 22443.99 50 "" "" "" "18.63679156  -   21.419488" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 2" "" "" L3469
4456.815 4456.8206 22437.55 150 "" "" "" "18.57583601  -   21.3577339" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L3469
4457.631 4457.649 22433.44 10 "" "" "" "18.71137667  -   21.492758" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 1" "" "" L3469
4461.4268 4461.4277 22414.354 1000 "" "" "" "18.55510805  -   21.3341332" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2" "" "" L7292
4464.109 4464.096 22400.89 20 "" "" "" "18.70407118  -   21.481435" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 1" "" "" L3469
4466.9077 4466.9009 22386.852 500 "" "" "" "18.57583601  -   21.3514561" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[5/2]* | 2" "" "" L4498
4467.298 4467.291 22384.89 50 "" "" "" "18.57583601  -   21.351213" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 1" "" "" L3469
4467.756 4467.7665 22382.6 20 "" "" "" "18.57583601  -   21.3509183" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2" "" "" L3469
4468.0656 4468.0655 22381.0503 700 "" "" "" "18.57583601  -   21.35073261" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[7/2]* | 3" "" "" L3451
4468.745 4468.7432 22377.65 10 "" "" "" "18.57583601  -   21.3503118" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 1" "" "" L3469
4472.226 4472.24 22360.23 50 "" "" "" "18.71137667  -   21.483683" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).13d | 2[1/2]* | 1" "" "" L3469
4472.226 4472.2228 22360.23 50 "" "" "" "18.61270528  -   21.38502238" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 1" "" "" L3469
4473.501 4473.5266 22353.86 10 "" "" "" "18.61270528  -   21.3842144" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 2" "" "" L3469
4473.501 4473.471 22353.86 10 "" "" "" "18.69335943  -   21.464903" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).13s | 2[3/2]* | 2" "" "" L3469
4476.387 4476.4012 22339.45 50 "" "" "" "18.61270528  -   21.3824346" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 1" "" "" L3469
4476.9119 4476.91 22336.826 1000 "" "" "" "18.61270528  -   21.3821198" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[5/2]* | 2" "" "" L7292
4482.08 4482.082 22311.07 150 "" "" "" "18.72638145  -   21.492600" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 2" "" "" L3469
4484.4479 4484.454 22299.289 1500 "" "" "" "18.38162323  -   21.14637893" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L7292
4489.3518 4489.3525 22274.9308 3000 "" "" "" "18.38162323  -   21.14336221" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L3451
4493.0317 4493.0304 22256.687 800 "" "" "" "18.57583601  -   21.3353143" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 1" "" "" L4498
4493.098 4493.098 22256.36 500 "" "" "" "18.63679156  -   21.396228" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[5/2]* | 3" "" "" L3469
4493.392 4493.379 22254.9 50 "" "" "" "18.63679156  -   21.396056" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 1" "" "" L3469
4493.672 4493.667 22253.51 300 "" "" "" "18.63679156  -   21.395879" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 2" "" "" L3469
4493.949 4493.9333 22252.14 150 "" "" "" "18.63679156  -   21.3957154" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[7/2]* | 3" "" "" L3469
4494.368 4494.368 22250.07 50 "" "" "" "18.63679156  -   21.395449" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[1/2]* | 1" "" "" L3469
4494.96 4494.9542 22247.14 500 "" "" "" "18.57583601  -   21.3341332" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2" "" "" L3469
4500.262 4500.246 22220.93 20 "" "" "" "18.72638145  -   21.481435" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 1" "" "" L3469
4501.105 4501.101 22216.77 50 "" "" "" "18.72638145  -   21.480912" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 0" "" "" L3469
4501.105 4501.082 22216.77 50 "" "" "" "18.69335943  -   21.447901" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8d  | 2[3/2]* | 1" "" "" L3469
4501.4444 4501.4443 22215.092 500 "" "" "" "18.69335943  -   21.4476798" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8d  | 2[5/2]* | 2" "" "" L7292
4511.435 4511.4187 22165.9 150 "" "" "" "18.63679156  -   21.38502238" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 1" "" "" L3469
4512.774 4512.7454 22159.32 200 "" "" "" "18.63679156  -   21.3842144" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 2" "" "" L3469
4512.774 4512.74 22159.32 200 "" "" "" "18.70407118  -   21.451496" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).11d | 2[1/2]* | 1" "" "" L3469
4516.157 4516.1505 22142.72 700 "" "" "" "18.63679156  -   21.3821429" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).7d  | 2[5/2]* | 3" "" "" L3469
4516.288 4516.3116 22142.08 20 "" "" "" "18.63679156  -   21.3820449" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 2" "" "" L3469
4516.677 4516.6815 22140.17 300 "" "" "" "18.61270528  -   21.3577339" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L3469
4518.203 4518.201 22132.69 500 "" "" "" "18.61270528  -   21.3568107" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 0" "" "" L3469
4519.003 4519.003 22128.775 1000 "" "" "" "18.70407118  -   21.4476896" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).8d  | 2[5/2]* | 3" "" "" L7292
4527.0331 4527.0347 22089.523 700 "" "" "" "18.61270528  -   21.3514561" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[5/2]* | 2" "" "" L7292
4527.446 4527.436 22087.51 500 "" "" "" "18.61270528  -   21.351213" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 1" "" "" L3469
4527.954 4527.9237 22085.03 150 "" "" "" "18.61270528  -   21.3509183" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2" "" "" L3469
4527.954 4527.983 22085.03 150 "" "" "" "18.69335943  -   21.431537" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 1" "" "" L3469
4528.995 4528.982 22079.96 150 "" "" "" "18.69335943  -   21.430933" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 0" "" "" L3469
4529.243 4529.244 22078.75 10 "" "" "" "18.61270528  -   21.350120" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 0" "" "" L3469
4530.746 4530.718 22071.42 300 "" "" "" "18.71137667  -   21.447901" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).8d  | 2[3/2]* | 1" "" "" L3469
4533.666 4533.669 22057.21 10 "" "" "" "18.69335943  -   21.428102" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).10d | 2[3/2]* | 1" "" "" L3469
4537.5722 4537.5715 22038.217 1500 429000.0 0.00132 C "18.38162323  -   21.11401428" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" T6976 L4498
4538.9491 4538.9485 22031.532 3000 477000.0 0.00245 C+ "18.38162323  -   21.11318538" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 2" "" T6976 L4498
4539.0268 4539.0273 22031.1544 10000 816000.0 0.0042 C+ "18.38162323  -   21.11313791" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T6976 L3451
4539.575 4539.5732 22028.494 3000 "" "" "" "18.55510805  -   21.2862943" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 3" "" "" L4498
4540.441 4540.4376 22024.29 500 "" "" "" "18.55510805  -   21.2857743" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L3469
4541.6531 4541.652 22018.4145 500 "" "" "" "18.55510805  -   21.2850442" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).7d  | 2[7/2]* | 4" "" "" L3451
4545.776 4545.766 21998.44 500 "" "" "" "18.70407118  -   21.431537" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 1" "" "" L3469
4547.003 4547.007 21992.51 10 "" "" "" "18.69335943  -   21.420080" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 1" "" "" L3469
4548.493 4548.471 21985.3 100 "" "" "" "18.55510805  -   21.28095151" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 3" "" "" L3469
4549.003 4548.9831 21982.84 150 "" "" "" "18.55510805  -   21.28064461" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L3469
4551.916 4551.901 21968.77 10 "" "" "" "18.70407118  -   21.427860" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[7/2]* | 3" "" "" L3469
4553.8742 4553.8745 21959.324 300 "" "" "" "18.61270528  -   21.3353143" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 1" "" "" L7292
4555.692 4555.697 21950.56 100 "" "" "" "18.72638145  -   21.447901" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).8d  | 2[3/2]* | 1" "" "" L3469
4555.838 4555.8508 21949.86 50 "" "" "" "18.61270528  -   21.3341332" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2" "" "" L3469
4556.101 4556.096 21948.59 400 "" "" "" "18.72638145  -   21.447663" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).8d  | 2[3/2]* | 2" "" "" L3469
4556.669 4556.664 21945.86 300 "" "" "" "18.63679156  -   21.3577339" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L3469
4557.975 4557.975 21939.57 20 "" "" "" "18.71137667  -   21.431537" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 1" "" "" L3469
4563.728 4563.737 21911.91 10 "" "" "" "18.71137667  -   21.428102" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).10d | 2[3/2]* | 1" "" "" L3469
4567.1677 4567.1684 21895.408 600 "" "" "" "18.63679156  -   21.3514758" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[5/2]* | 3" "" "" L7292
4568.11 4568.1064 21890.89 400 "" "" "" "18.63679156  -   21.3509183" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2" "" "" L3469
4568.419 4568.419 21889.41 150 "" "" "" "18.63679156  -   21.35073261" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[7/2]* | 3" "" "" L3469
4569.125 4569.1274 21886.03 100 "" "" "" "18.63679156  -   21.3503118" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 1" "" "" L3469
4574.3425 4574.342 21861.065 50 "" "" "" "18.57583601  -   21.2862629" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 2" "" "" L4498
4574.839 4574.839 21858.69 500 "" "" "" "18.57583601  -   21.2859685" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1" "" "" L3469
4575.18 4575.1668 21857.06 300 "" "" "" "18.57583601  -   21.2857743" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L3469
4576.3441 4576.3435 21851.5035 3000 "" "" "" "18.57583601  -   21.2850775" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[7/2]* | 3" "" "" L3451
4577.14 4577.1395 21847.7 200 "" "" "" "18.57583601  -   21.2846064" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).7d  | 2[1/2]* | 1" "" "" L3469
4583.319 4583.3237 21818.25 1500 "" "" "" "18.57583601  -   21.28095151" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 3" "" "" L7292
4583.389 4583.3849 21817.92 150 "" "" "" "18.57583601  -   21.28091538" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[5/2]* | 2" "" "" L3469
4583.7362 4583.7346 21816.2642 1500 "" "" "" "18.55510805  -   21.2599810" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L3451
4583.84 4583.8437 21815.77 150 "" "" "" "18.57583601  -   21.28064461" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 2" "" "" L3469
4584.264 4584.28 21813.75 50 "" "" "" "18.72638145  -   21.430933" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 0" "" "" L3469
4587.161 4587.154 21799.98 100 "" "" "" "18.69335943  -   21.396216" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[5/2]* | 2" "" "" L3469
4587.43 4587.426 21798.7 20 "" "" "" "18.69335943  -   21.396056" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 1" "" "" L3469
4594.53 4594.5211 21765.01 500 "" "" "" "18.63679156  -   21.3353143" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 1" "" "" L3469
4596.536 4596.5329 21755.51 500 "" "" "" "18.63679156  -   21.3341332" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2" "" "" L3469
4605.385 4605.385 21713.71 150 "" "" "" "18.70407118  -   21.396228" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[5/2]* | 3" "" "" L3469
4605.97 4605.983 21710.95 10 "" "" "" "18.70407118  -   21.395879" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 2" "" "" L3469
4606.228 4606.2304 21709.74 50 "" "" "" "18.69335943  -   21.38502238" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 1" "" "" L3469
4610.656 4610.6631 21688.89 300 "" "" "" "18.69335943  -   21.3824346" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 1" "" "" L3469
4611.2014 4611.2029 21686.323 1500 "" "" "" "18.69335943  -   21.3821198" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[5/2]* | 2" "" "" L7292
4615.6835 4615.6833 21665.263 1000 "" "" "" "18.57583601  -   21.2619865" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 1" "" "" L7292
4618.204 4618.213 21653.44 50 "" "" "" "18.71137667  -   21.396056" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 1" "" "" L3469
4619.1304 4619.1319 21649.096 700 "" "" "" "18.57583601  -   21.2599810" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L7292
4629.095 4629.1028 21602.49 20 "" "" "" "18.70407118  -   21.3824346" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 1" "" "" L3469
4629.6075 4629.6071 21600.1032 1500 "" "" "" "18.70407118  -   21.3821429" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).7d  | 2[5/2]* | 3" "" "" L3451
4629.756 4629.7764 21599.41 300 "" "" "" "18.70407118  -   21.3820449" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 2" "" "" L3469
4637.4233 4637.4238 21563.699 700 "" "" "" "18.61270528  -   21.2862629" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 2" "" "" L7292
4637.9346 4637.9346 21561.322 700 "" "" "" "18.61270528  -   21.2859685" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1" "" "" L4498
4638.273 4638.2715 21559.75 500 "" "" "" "18.61270528  -   21.2857743" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 2" "" "" L3469
