Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4114.025 4114.026 24307.09 100 "" "" "" "18.38162323  -   21.395318" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).9d  | 2[1/2]* | 0" "" "" L3469
4128.105 4128.1292 24224.19 20 "" "" "" "18.38162323  -   21.38502238" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 1" "" "" L3469
4129.236 4129.2401 24217.55 300 "" "" "" "18.38162323  -   21.3842144" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 2" "" "" L3469
4131.677 4131.6891 24203.25 200 "" "" "" "18.38162323  -   21.3824346" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 1" "" "" L3469
4132.2266 4132.2257 24200.028 700 "" "" "" "18.38162323  -   21.3820449" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 2" "" "" L4498
4165.982 4165.9808 24003.944 500 "" "" "" "18.38162323  -   21.3577339" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L4498
4167.265 4167.2735 23996.55 300 "" "" "" "18.38162323  -   21.3568107" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 0" "" "" L3469
4175.143 4175.128 23951.28 20 "" "" "" "18.38162323  -   21.351213" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 1" "" "" L3469
4175.5433 4175.5431 23948.979 700 "" "" "" "18.38162323  -   21.3509183" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2" "" "" L4498
4176.3965 4176.3962 23944.086 600 "" "" "" "18.38162323  -   21.3503118" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 1" "" "" L4498
4176.665 4176.666 23942.55 400 "" "" "" "18.38162323  -   21.350120" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 0" "" "" L3469
4197.597 4197.6021 23823.15 150 "" "" "" "18.38162323  -   21.3353143" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 1" "" "" L3469
4199.2846 4199.2812 23813.58 700 "" "" "" "18.38162323  -   21.3341332" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2" "" "" L4498
4204.454 4204.456 23784.3 20 "" "" "" "18.57583601  -   21.524712" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 2" "" "" L3469
4204.454 4204.456 23784.3 20 "" "" "" "18.57583601  -   21.524712" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2" "" "" L3469
4204.454 4204.451 23784.3 20 "" "" "" "18.57583601  -   21.524716" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 3" "" "" L3469
4233.515 4233.515 23621.03 10 "" "" "" "18.55510805  -   21.483743" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).13d | 2[7/2]* | 4" "" "" L3469
4250.734 4250.743 23525.35 20 "" "" "" "18.57583601  -   21.492601" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).9d  | 2[5/2]* | 3" "" "" L3469
4253.615 4253.616 23509.41 20 "" "" "" "18.55510805  -   21.469903" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).12d | 2[5/2]* | 3" "" "" L3469
4253.972 4253.972 23507.44 20 "" "" "" "18.55510805  -   21.469659" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).12d | 2[7/2]* | 4" "" "" L3469
