Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
5189.191 5189.191 19270.83 20 1380000.0 0.00929 C "12.90701530  -   15.29629325" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T1218n,T1164n L2634
5222.725 5222.724 19147.09 7 880000.0 0.0046 D "13.07571571  -   15.4496531" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).7d  | 2[7/2]* | 4" "" T1164n L2634
5422.859 5422.858 18440.46 5 600000.0 0.0019 D "13.07571571  -   15.3620414" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" T1164n L2634
5453.167 5453.167 18337.97 10 470000.0 0.0035 D+ "12.90701530  -   15.18063359" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" T1218n L2634
5497.401 5497.4 18190.41 25 1690000.0 0.00984 C "13.07571571  -   15.3310400" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).6d  | 2[7/2]* | 4" "" T1218n L2634
5507.643 5507.642 18156.59 5 360000.0 0.0023 D+ "13.09487256  -   15.34600299" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).6d  | 2[7/2]* | 3" "" T1218n L2634
5560.246 5560.245 17984.82 25 1420000.0 0.011 C "12.90701530  -   15.13684847" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T1218n L2634
5574.088 5574.089 17940.15 10 660000.0 0.0043 C "13.09487256  -   15.31916801" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<1/2>).5d  | 2[5/2]* | 3" "" T1218n L2634
5608.29 5608.289 17830.75 35 2200000.0 0.0104 C "12.90701530  -   15.11774638" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T1218n L2634
5652.272 5652.272 17692.0 20 3200000.0 0.00511 C "12.90701530  -   15.10054371" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).5d  | 2[1/2]* | 0" "" T1218n L2634
5741.112 5741.112 17418.23 10 870000.0 0.0072 D "13.15314387  -   15.31272913" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).5d  | 2[5/2]* | 2" "" T1218n L2634
5835.88 5835.881 17135.38 5 520000.0 0.0027 C "13.17177770  -   15.29629325" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T1218n,T1164n L2634
5861.934 5861.935 17059.22 10 285000.0 0.00147 C "12.90701530  -   15.02208834" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" T1218n,T1164n L2634
5884.254 5884.255 16994.51 15 1230000.0 0.00213 C "12.90701530  -   15.0140655" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" T1218n L2634
5890.216 5890.215 16977.31 25 1290000.0 0.00479 C "13.07571571  -   15.18063359" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" T1218n L2634
5913.723 5913.723 16909.82 50 1050000.0 0.00551 C "12.90701530  -   15.00356588" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T1218n,T1164n L2634
5930.456 5930.455 16862.11 15 1100000.0 0.0035 D+ "13.09487256  -   15.18550800" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" T1218n L2634
5944.315 5944.315 16822.8 5 180000.0 0.00095 D "13.09487256  -   15.18063359" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" T1218n L2634
5988.96 5988.96 16697.39 7 120000.0 0.00065 D "13.07571571  -   15.14592830" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).5d  | 2[7/2]* | 3" "" T1218n L2634
