Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4220.9337 4220.9338 23691.4404 300 "" "" "" "34.6086522   -   37.5460164" "2s2.2p4.(3P).3d    | 4D    | 7/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 9/2" "" "" L9088
4222.0823 4222.0827 23684.995 180 "" "" "" "34.61869947  -   37.5552644" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L9088
4222.275 4222.2748 23683.915 120 14000000.0 0.025 D "34.61869947  -   37.5551307" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" T1115CA,LS L1406
4225.663 4225.6619 23664.927 100 "" "" "" "34.63187052  -   37.5659481" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L1406
4225.831 4225.8308 23663.986 120 19000000.0 0.025 D "34.63187052  -   37.5658308" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "" T1115CA,LS L1406
4232.7248 4232.7248 23625.443 160 22000000.0 0.059 D "34.61869947  -   37.5478811" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" T1115CA,LS L5951
4232.8278 4232.828 23624.868 180 "" "" "" "34.61869947  -   37.5478097" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L9088
4235.0388 4235.0388 23612.534 200 5500000.0 0.02 D "34.61869947  -   37.5462806" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "" T1115CA,LS L9088
4241.1128 4241.1048 23578.717 160 15000000.0 0.061 D "34.63187052  -   37.5552644" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" T1115CA,LS L5951
4241.2988 4241.2987 23577.683 180 "" "" "" "34.63187052  -   37.5551307" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L5951
4243.232 4243.233 23566.94 60 "" "" "" "34.6440204   -   37.5659481" "2s2.2p4.(3P).3d    | 4D    | 1/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L1406
4243.404 4243.4033 23565.984 120 19000000.0 0.051 D "34.6440204   -   37.5658308" "2s2.2p4.(3P).3d    | 4D    | 1/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "" T1115CA,LS L1406
4251.8435 4251.8432 23519.21 240 9000000.0 0.037 D "34.63187052  -   37.5478811" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" T1115CA,LS L9088
