Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4529.753 4529.7518 22076.26 160 "" "" "" "35.12749222  -   37.8646002" "2s2.2p4.(3P).4s    | 2P    | 3/2" "2s2.2p4.(1S).3p    | 2P*   | 3/2" "" "" L1406
4535.79 4535.7961 22046.87 22 "" "" "" "34.81442056  -   37.5478811" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L1406
4535.915 4535.9146 22046.27 80 "" "" "" "34.81442056  -   37.5478097" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L1406
4536.646 4536.6435 22042.718 140 "" "" "" "34.83299812  -   37.5659481" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L1406
4536.844 4536.8382 22041.76 40 "" "" "" "34.83299812  -   37.5658308" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "" "" L1406
4538.467 4538.4535 22033.87 22 "" "" "" "34.81442056  -   37.5462806" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "" "" L1406
4543.66 4543.676 22008.67 12bl "" "" "" "38.0243755   -   40.7530955" "2s2.2p4.(1D).3d    | 2F    | 5/2" "2s2.2p4.(1D<2>).4f | 2[2]* | 3/2" "" "" L1406
4543.75 4543.759 22008.24 12bl "" "" "" "38.0244230   -   40.7530932" "2s2.2p4.(1D).3d    | 2F    | 7/2" "2s2.2p4.(1D<2>).4f | 2[2]* | 5/2" "" "" L1406
4545.39 4545.3963 22000.29 12 "" "" "" "34.83826076  -   37.5659481" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L1406
4545.59 4545.5917 21999.32 12 "" "" "" "34.83826076  -   37.5658308" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "" "" L1406
4552.95 4552.9312 21963.8 12 "" "" "" "34.84277499  -   37.5659481" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L1406
4554.4495 4554.4479 21956.551 140 "" "" "" "34.83299812  -   37.5552644" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L9088
4554.675 4554.6715 21955.461 100 "" "" "" "34.83299812  -   37.5551307" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L1406
4563.273 4563.2695 21914.1 12 "" "" "" "34.83826076  -   37.5552644" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L1406
4563.48 4563.494 21913.11 40 "" "" "" "34.83826076  -   37.5551307" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L1406
4566.819 4566.8339 21897.08 22 "" "" "" "34.83299812  -   37.5478811" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L9088
4570.338 4570.3374 21880.222 200 "" "" "" "34.92886254  -   37.6416644" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L1406
4570.885 4570.8639 21877.6 22 "" "" "" "34.84277499  -   37.5552644" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L1406
4575.702 4575.7037 21854.57 40 "" "" "" "34.83826076  -   37.5478811" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L1406
4576.593 4576.5995 21850.31 40 "" "" "" "36.1788195   -   38.8879095" "2s2.2p4.(3P).4p    | 4D*   | 3/2" "2s2.2p4.(3P).6s    | 4P    | 3/2" "" "" L1406
4581.7016 4581.7024 21825.952 160 "" "" "" "34.96332866  -   37.6694014" "2s2.2p4.(3P).4s    | 4P    | 5/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 7/2" "" "" L9088
4583.28 4583.2773 21818.42 40 "" "" "" "34.86080527  -   37.5659481" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L1406
4583.327 4583.3395 21818.21 60 "" "" "" "34.84277499  -   37.5478811" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L1406
4589.4186 4589.4215 21789.252 160 "" "" "" "34.92886254  -   37.6303838" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L9088
4589.644 4589.644 21788.18 22 "" "" "" "34.92886254  -   37.6302529" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L1406
4601.441 4601.4503 21732.32 40 "" "" "" "34.86080527  -   37.5552644" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L9088
4605.759 4605.761 21711.95 40 "" "" "" "37.4185624   -   40.110500" "2s2.2p4.(3P).4d    | 4D    | 7/2" "2s2.2p4.(3P<2>).8f | 2[4]* | 9/2" "" "" L1406
4607.988 4607.9859 21701.45 100 "" "" "" "36.1044477   -   38.7950853" "2s2.2p4.(3P).4p    | 4D*   | 7/2" "2s2.2p4.(3P).6s    | 4P    | 5/2" "" "" L1406
4611.442 4611.4406 21685.19 80 "" "" "" "36.14077610  -   38.8293979" "2s2.2p4.(3P).4p    | 4D*   | 5/2" "2s2.2p4.(3P).6s    | 2P    | 3/2" "" "" L1406
4614.094 4614.0937 21672.73 12 "" "" "" "34.86080527  -   37.5478811" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L1406
4614.22 4614.2164 21672.13 22 "" "" "" "34.86080527  -   37.5478097" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L1406
4616.856 4616.8437 21659.76 22 "" "" "" "34.86080527  -   37.5462806" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "" "" L1406
4617.3841 4617.3842 21657.284 180 "" "" "" "34.8807871   -   37.5659481" "2s2.2p4.(3P).3d    | 2P    | 1/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L5951
4617.59 4617.5859 21656.3 12 "" "" "" "34.8807871   -   37.5658308" "2s2.2p4.(3P).3d    | 2P    | 1/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "" "" L1406
4625.546 4625.5574 21619.07 120 "" "" "" "36.2074931   -   38.8879095" "2s2.2p4.(3P).4p    | 2D*   | 5/2" "2s2.2p4.(3P).6s    | 4P    | 3/2" "" "" L9088
4629.2771 4629.2768 21601.645 160 "" "" "" "34.96332866  -   37.6415915" "2s2.2p4.(3P).4s    | 4P    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L9088
4636.0602 4636.0609 21570.039 140 "" "" "" "34.8807871   -   37.5551307" "2s2.2p4.(3P).3d    | 2P    | 1/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L5951
4636.68 4636.6805 21567.16 100 "" "" "" "36.25939694  -   38.9333832" "2s2.2p4.(3P).4p    | 2D*   | 3/2" "2s2.2p4.(3P).6s    | 2P    | 1/2" "" "" L1406
4648.111 4648.1142 21514.116 100 "" "" "" "35.19841919  -   37.8658278" "2s2.2p4.(3P).4s    | 2P    | 1/2" "2s2.2p4.(1S).3p    | 2P*   | 1/2" "" "" L1406
4648.73 4648.7302 21511.25 40 "" "" "" "34.96332866  -   37.6303838" "2s2.2p4.(3P).4s    | 4P    | 5/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L1406
4650.246 4650.2543 21504.24 22 "" "" "" "35.19841919  -   37.8646002" "2s2.2p4.(3P).4s    | 2P    | 1/2" "2s2.2p4.(1S).3p    | 2P*   | 3/2" "" "" L1406
4651.302 4651.3048 21499.36 40 "" "" "" "36.14077610  -   38.8063550" "2s2.2p4.(3P).4p    | 4D*   | 5/2" "2s2.2p4.(3P).5d    | 4F    | 7/2" "" "" L1406
4662.142 4662.1425 21449.37 60 "" "" "" "35.01007584  -   37.6694582" "2s2.2p4.(3P).4s    | 4P    | 3/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L1406
4670.679 4670.678 21410.16 60 "" "" "" "37.5363133   -   40.190836" "2s2.2p4.(3P).4d    | 4F    | 7/2" "2s2.2p4.(3P<1>).8f | 2[4]* | 9/2" "" "" L1406
4679.623 4679.624 21369.24 60 "" "" "" "37.5761142   -   40.225562" "2s2.2p4.(3P).4d    | 4P    | 5/2" "2s2.2p4.(3P<0>).8f | 2[3]* | 7/2" "" "" L1406
4687.667 4687.665 21332.58 60 "" "" "" "37.4671457   -   40.112049" "2s2.2p4.(3P).4d    | 4F    | 9/2" "2s2.2p4.(3P<2>).8f | 2[5]* | 11/2" "" "" L1406
4689.983 4689.985 21322.04 40 "" "" "" "37.5472841   -   40.190879" "2s2.2p4.(3P).4d    | 4F    | 5/2" "2s2.2p4.(3P<1>).8f | 2[4]* | 7/2" "" "" L1406
4699.189 4699.192 21280.27 22 "" "" "" "37.5536404   -   40.192056" "2s2.2p4.(3P).4d    | 2F    | 5/2" "2s2.2p4.(3P<1>).8f | 2[3]* | 7/2" "" "" L1406
4699.745 4699.746 21277.75 60 "" "" "" "37.4739467   -   40.112051" "2s2.2p4.(3P).4d    | 2F    | 7/2" "2s2.2p4.(3P<2>).8f | 2[5]* | 9/2" "" "" L1406
4701.558 4701.5615 21269.54 12 "" "" "" "34.92886254  -   37.5659481" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L1406
4701.798 4701.7706 21268.46 12 "" "" "" "34.92886254  -   37.5658308" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 1/2" "" "" L1406
4714.287 4714.2907 21212.12 22 "" "" "" "36.1994328   -   38.8293979" "2s2.2p4.(3P).4p    | 4D*   | 1/2" "2s2.2p4.(3P).6s    | 2P    | 3/2" "" "" L1406
4714.777 4714.773 21209.91 22 "" "" "" "37.5623819   -   40.192078" "2s2.2p4.(3P).4d    | 4F    | 3/2" "2s2.2p4.(3P<1>).8f | 2[3]* | 5/2" "" "" L1406
4715.732 4715.7327 21205.616 120 "" "" "" "36.1044477   -   38.7336086" "2s2.2p4.(3P).4p    | 4D*   | 7/2" "2s2.2p4.(3P).5d    | 4F    | 9/2" "" "" L1406
4716.254 4716.25 21203.27 40 "" "" "" "37.5967073   -   40.225580" "2s2.2p4.(3P).4d    | 2P    | 3/2" "2s2.2p4.(3P<0>).8f | 2[3]* | 5/2" "" "" L1406
4720.683 4720.6865 21183.374 22 "" "" "" "34.92886254  -   37.5552644" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L1406
4720.928 4720.9268 21182.27 12 "" "" "" "34.92886254  -   37.5551307" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L1406
4731.662 4731.6651 21134.22 22 "" "" "" "35.01007584  -   37.6303838" "2s2.2p4.(3P).4s    | 4P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L1406
4731.9 4731.9016 21133.15 22 "" "" "" "35.01007584  -   37.6302529" "2s2.2p4.(3P).4s    | 4P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L1406
4733.991 4733.9946 21123.83 80 "" "" "" "34.92886254  -   37.5478811" "2s2.2p4.(3P).3d    | 2P    | 3/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L1406
4738.11 4738.1115 21105.46 22 "" "" "" "36.2711665   -   38.8879095" "2s2.2p4.(3P).4p    | 2S*   | 1/2" "2s2.2p4.(3P).6s    | 4P    | 3/2" "" "" L1406
4770.709 4770.7113 20961.247 100 "" "" "" "36.2074931   -   38.8063550" "2s2.2p4.(3P).4p    | 2D*   | 5/2" "2s2.2p4.(3P).5d    | 4F    | 7/2" "" "" L1406
4774.262 4774.2634 20945.648 120 "" "" "" "36.14077610  -   38.7377045" "2s2.2p4.(3P).4p    | 4D*   | 5/2" "2s2.2p4.(3P).5d    | 2F    | 7/2" "" "" L1406
4783.458 4783.4596 20905.38 60 "" "" "" "34.96332866  -   37.5552644" "2s2.2p4.(3P).4s    | 4P    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L1406
4797.259 4797.257 20845.24 60 "" "" "" "34.96332866  -   37.5478097" "2s2.2p4.(3P).4s    | 4P    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L1406
4900.152 4900.1518 20407.53 22 "" "" "" "36.2074931   -   38.7377045" "2s2.2p4.(3P).4p    | 2D*   | 5/2" "2s2.2p4.(3P).5d    | 2F    | 7/2" "" "" L1406
4937.748 4937.7432 20252.15 40 "" "" "" "36.2841366   -   38.7950853" "2s2.2p4.(3P).4p    | 4S*   | 3/2" "2s2.2p4.(3P).6s    | 4P    | 5/2" "" "" L1406
5079.83 5079.8241 19685.7 22 "" "" "" "36.4926649   -   38.9333832" "2s2.2p4.(3P).4p    | 2P*   | 1/2" "2s2.2p4.(3P).6s    | 2P    | 1/2" "" "" L1406
5100.967 5100.955 19604.125 100 "" "" "" "37.4185624   -   39.8491698" "2s2.2p4.(3P).4d    | 4D    | 7/2" "2s2.2p4.(3P<2>).7f | 2[4]* | 9/2" "" "" L9088
5138.581 5138.582 19460.62 40 "" "" "" "37.4367781   -   39.849588" "2s2.2p4.(3P).4d    | 4D    | 3/2" "2s2.2p4.(3P<2>).7f | 2[3]* | 5/2" "" "" L1406
5179.95 5179.953 19305.2 140 "" "" "" "37.5363133   -   39.9298525" "2s2.2p4.(3P).4d    | 4F    | 7/2" "2s2.2p4.(3P<1>).7f | 2[4]* | 9/2" "" "" L1406
5190.609 5190.612 19265.56 120 "" "" "" "37.5761142   -   39.964738" "2s2.2p4.(3P).4d    | 4P    | 5/2" "2s2.2p4.(3P<0>).7f | 2[3]* | 7/2" "" "" L1406
5199.012 5199.005 19234.42 80 "" "" "" "37.5445181   -   39.929286" "2s2.2p4.(3P).4d    | 4P    | 3/2" "2s2.2p4.(3P<1>).7f | 2[2]* | 5/2" "" "" L1406
5199.929 5199.924 19231.03 160 "" "" "" "37.4671457   -   39.851492" "2s2.2p4.(3P).4d    | 4F    | 9/2" "2s2.2p4.(3P<2>).7f | 2[5]* | 11/2" "" "" L1406
5203.689 5203.693 19217.14 140 "" "" "" "37.5472841   -   39.929903" "2s2.2p4.(3P).4d    | 4F    | 5/2" "2s2.2p4.(3P<1>).7f | 2[4]* | 7/2" "" "" L1406
5205.03 5204.993 19212.19 22bl "" "" "" "37.4671457   -   39.8491698" "2s2.2p4.(3P).4d    | 4F    | 9/2" "2s2.2p4.(3P<2>).7f | 2[4]* | 9/2" "" "" L1406
5213.814 5213.812 19179.82 80 "" "" "" "37.5536404   -   39.931635" "2s2.2p4.(3P).4d    | 2F    | 5/2" "2s2.2p4.(3P<1>).7f | 2[3]* | 7/2" "" "" L1406
5214.791 5214.79 19176.23 140 "" "" "" "37.4739467   -   39.851496" "2s2.2p4.(3P).4d    | 2F    | 7/2" "2s2.2p4.(3P<2>).7f | 2[5]* | 9/2" "" "" L1406
5219.721 5219.712 19158.11 22 "" "" "" "37.4739467   -   39.849254" "2s2.2p4.(3P).4d    | 2F    | 7/2" "2s2.2p4.(3P<2>).7f | 2[4]* | 7/2" "" "" L1406
5232.979 5232.983 19109.57 80 "" "" "" "37.5623819   -   39.931665" "2s2.2p4.(3P).4d    | 4F    | 3/2" "2s2.2p4.(3P<1>).7f | 2[3]* | 5/2" "" "" L1406
5236.094 5236.099 19098.2 60 "" "" "" "37.4813807   -   39.849254" "2s2.2p4.(3P).4d    | 2D    | 5/2" "2s2.2p4.(3P<2>).7f | 2[4]* | 7/2" "" "" L1406
5237.325 5237.3148 19093.72 80 "" "" "" "36.46207411  -   38.8293979" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "2s2.2p4.(3P).6s    | 2P    | 3/2" "" "" L1406
5247.294 5247.289 19057.44 40 "" "" "" "37.6019142   -   39.964738" "2s2.2p4.(3P).5s    | 4P    | 5/2" "2s2.2p4.(3P<0>).7f | 2[3]* | 7/2" "" "" L1406
5264.588 5264.586 18994.84 80 "" "" "" "37.4960221   -   39.851083" "2s2.2p4.(3P).4d    | 2D    | 3/2" "2s2.2p4.(3P<2>).7f | 2[2]* | 5/2" "" "" L1406
5378.13 5378.138 18593.82 80 "" "" "" "37.5460164   -   39.851353" "2s2.2p4.(3P<2>).4f | 2[4]* | 9/2" "2s2.2p4.(3P<2>).7g | 2[5]  | 11/2" "" "" L1406
5378.75 5378.758 18591.68 80 "" "" "" "37.5462806   -   39.851352" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "2s2.2p4.(3P<2>).7g | 2[5]  | 9/2" "" "" L1406
5382.217 5382.218 18579.7 80 "" "" "" "37.5478097   -   39.851399" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "2s2.2p4.(3P<2>).7g | 2[4]  | 9/2" "" "" L1406
5382.382 5382.382 18579.13 60 "" "" "" "37.5478811   -   39.851400" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "2s2.2p4.(3P<2>).7g | 2[4]  | 7/2" "" "" L1406
5388.396 5388.395 18558.4 60 "" "" "" "37.6302529   -   39.931201" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "2s2.2p4.(3P<1>).7g | 2[3]  | 5/2" "" "" L1406
5388.707 5388.707 18557.33 80 "" "" "" "37.6303838   -   39.931199" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "2s2.2p4.(3P<1>).7g | 2[3]  | 7/2" "" "" L1406
5393.5 5393.501 18540.84 100 "" "" "" "37.6326419   -   39.931412" "2s2.2p4.(3P<1>).4f | 2[4]* | 9/2" "2s2.2p4.(3P<1>).7g | 2[5]  | 11/2" "" "" L1406
5393.747 5393.747 18539.99 100 "" "" "" "37.6327393   -   39.931405" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "2s2.2p4.(3P<1>).7g | 2[5]  | 9/2" "" "" L1406
5397.97 5397.97 18525.48 22 "" "" "" "37.5551307   -   39.851999" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "2s2.2p4.(3P<2>).7g | 2[3]  | 5/2" "" "" L1406
5398.282 5398.281 18524.41 60 "" "" "" "37.5552644   -   39.851999" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "2s2.2p4.(3P<2>).7g | 2[3]  | 7/2" "" "" L1406
5398.466 5398.464 18523.78 120 "" "" "" "37.6694014   -   39.966058" "2s2.2p4.(3P<0>).4f | 2[3]* | 7/2" "2s2.2p4.(3P<0>).7g | 2[4]  | 9/2" "" "" L1406
5398.597 5398.597 18523.33 100 "" "" "" "37.6694582   -   39.966058" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "2s2.2p4.(3P<0>).7g | 2[4]  | 7/2" "" "" L1406
5406.655 5406.65 18495.73 140 "" "" "" "37.5591893   -   39.852367" "2s2.2p4.(3P<2>).4f | 2[5]* | 9/2" "2s2.2p4.(3P<2>).7g | 2[6]  | 11/2" "" "" L1406
5406.655 5406.65 18495.73 140 "" "" "" "37.5591918   -   39.852370" "2s2.2p4.(3P<2>).4f | 2[5]* | 11/2" "2s2.2p4.(3P<2>).7g | 2[6]  | 13/2" "" "" L1406
5412.587 5412.588 18475.45 60 "" "" "" "37.6415915   -   39.932255" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "2s2.2p4.(3P<1>).7g | 2[4]  | 9/2" "" "" L1406
5412.767 5412.766 18474.84 100 "" "" "" "37.6416644   -   39.932253" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "2s2.2p4.(3P<1>).7g | 2[4]  | 7/2" "" "" L1406
5421.6 5421.6 18444.75 12,bl "" "" "" "37.5659481   -   39.852804" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "2s2.2p4.(3P<2>).7g | 2[2]  | 5/2" "" "" L1406
5663.771 5663.7721 17656.08 40 "" "" "" "34.3035902   -   36.4926649" "2s2.2p4.(1S).3s    | 2S    | 1/2" "2s2.2p4.(3P).4p    | 2P*   | 1/2" "" "" L1406
5744.03 5744.041 17409.38 80 "" "" "" "34.3035902   -   36.46207411" "2s2.2p4.(1S).3s    | 2S    | 1/2" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "" "" L1406
6112.57 6112.5021 16359.73 100 "" "" "" "37.4185624   -   39.4469331" "2s2.2p4.(3P).4d    | 4D    | 7/2" "2s2.2p4.(3P<2>).6f | 2[3]* | 7/2" "" "" L1406
6114.41 6114.3409 16354.8 160 "" "" "" "37.4185624   -   39.4463231" "2s2.2p4.(3P).4d    | 4D    | 7/2" "2s2.2p4.(3P<2>).6f | 2[4]* | 9/2" "" "" L1406
6134.47 6134.4153 16301.33 100 "" "" "" "37.4253334   -   39.4464583" "2s2.2p4.(3P).4d    | 4D    | 5/2" "2s2.2p4.(3P<2>).6f | 2[4]* | 7/2" "" "" L1406
6167.8 6167.7726 16213.25 80 "" "" "" "37.4367781   -   39.4469722" "2s2.2p4.(3P).4d    | 4D    | 3/2" "2s2.2p4.(3P<2>).6f | 2[3]* | 5/2" "" "" L1406
6226.2 6226.1347 16061.16 160 "" "" "" "37.5363133   -   39.5276643" "2s2.2p4.(3P).4d    | 4F    | 7/2" "2s2.2p4.(3P<1>).6f | 2[4]* | 9/2" "" "" L1406
6240.758 6240.7514 16023.69 120 "" "" "" "37.5761142   -   39.5628013" "2s2.2p4.(3P).4d    | 4P    | 5/2" "2s2.2p4.(3P<0>).6f | 2[3]* | 7/2" "" "" L1406
6252.654 6252.6535 15993.21 120 "" "" "" "37.4671457   -   39.4500510" "2s2.2p4.(3P).4d    | 4F    | 9/2" "2s2.2p4.(3P<2>).6f | 2[5]* | 11/2" "" "" L1406
6254.635 6254.6281 15988.14 80 "" "" "" "37.5445181   -   39.5267974" "2s2.2p4.(3P).4d    | 4P    | 3/2" "2s2.2p4.(3P<1>).6f | 2[2]* | 5/2" "" "" L1406
6260.42 6260.3819 15973.37 180 "" "" "" "37.5472841   -   39.5277415" "2s2.2p4.(3P).4d    | 4F    | 5/2" "2s2.2p4.(3P<1>).6f | 2[4]* | 7/2" "" "" L1406
6271.865 6271.8663 15944.22 80 "" "" "" "37.5536404   -   39.5304714" "2s2.2p4.(3P).4d    | 2F    | 5/2" "2s2.2p4.(3P<1>).6f | 2[3]* | 7/2" "" "" L1406
6274.155 6274.1565 15938.4 140 "" "" "" "37.4739467   -   39.4500561" "2s2.2p4.(3P).4d    | 2F    | 7/2" "2s2.2p4.(3P<2>).6f | 2[5]* | 9/2" "" "" L1406
6299.582 6299.5752 15874.07 80 "" "" "" "37.5623819   -   39.5305178" "2s2.2p4.(3P).4d    | 4F    | 3/2" "2s2.2p4.(3P<1>).6f | 2[3]* | 5/2" "" "" L1406
6307.857 6307.8553 15853.24 100 "" "" "" "37.4813807   -   39.4469331" "2s2.2p4.(3P).4d    | 2D    | 5/2" "2s2.2p4.(3P<2>).6f | 2[3]* | 7/2" "" "" L1406
6309.4 6309.3792 15849.36 180 "" "" "" "37.4813807   -   39.4464583" "2s2.2p4.(3P).4d    | 2D    | 5/2" "2s2.2p4.(3P<2>).6f | 2[4]* | 7/2" "" "" L1406
6322.864 6322.863 15815.62 60 "" "" "" "37.6019142   -   39.5628013" "2s2.2p4.(3P).5s    | 4P    | 5/2" "2s2.2p4.(3P<0>).6f | 2[3]* | 7/2" "" "" L1406
6347.408 6347.3983 15754.46 60 "" "" "" "37.4960221   -   39.4493295" "2s2.2p4.(3P).4d    | 2D    | 3/2" "2s2.2p4.(3P<2>).6f | 2[2]* | 5/2" "" "" L1406
6512.676 6512.6865 15354.67 60 "" "" "" "37.5460164   -   39.4497500" "2s2.2p4.(3P<2>).4f | 2[4]* | 9/2" "2s2.2p4.(3P<2>).6g | 2[5]  | 11/2" "" "" L1406
6513.588 6513.5956 15352.52 140 "" "" "" "37.5462806   -   39.4497485" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "2s2.2p4.(3P<2>).6g | 2[5]  | 9/2" "" "" L1406
6518.59 6518.599 15340.74 120 "" "" "" "37.5478097   -   39.4498165" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "2s2.2p4.(3P<2>).6g | 2[4]  | 9/2" "" "" L1406
6518.842 6518.8483 15340.15 100 "" "" "" "37.5478811   -   39.4498152" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "2s2.2p4.(3P<2>).6g | 2[4]  | 7/2" "" "" L1406
6527.387 6527.399 15320.07 22 "" "" "" "37.6302529   -   39.5296956" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "2s2.2p4.(3P<1>).6g | 2[3]  | 5/2" "" "" L1406
6527.83 6527.851 15319.02 120 "" "" "" "37.6303838   -   39.5296950" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "2s2.2p4.(3P<1>).6g | 2[3]  | 7/2" "" "" L1406
6540.491 6540.491 15289.37 80 "" "" "" "37.5551307   -   39.4507713" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "2s2.2p4.(3P<2>).6g | 2[3]  | 5/2" "" "" L1406
6540.95 6540.946 15288.3 120 "" "" "" "37.5552644   -   39.4507730" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "2s2.2p4.(3P<2>).6g | 2[3]  | 7/2" "" "" L1406
6541.299 6541.294 15287.48 140 "" "" "" "37.6694014   -   39.5648093" "2s2.2p4.(3P<0>).4f | 2[3]* | 7/2" "2s2.2p4.(3P<0>).6g | 2[4]  | 9/2" "" "" L1406
6541.499 6541.497 15287.02 60 "" "" "" "37.6694582   -   39.5648071" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "2s2.2p4.(3P<0>).6g | 2[4]  | 7/2" "" "" L1406
6552.463 6552.4529 15261.44 140 "" "" "" "37.5591918   -   39.4513718" "2s2.2p4.(3P<2>).4f | 2[5]* | 11/2" "2s2.2p4.(3P<2>).6g | 2[6]  | 13/2" "" "" L1406
6552.463 6552.467 15261.44 140 "" "" "" "37.5591893   -   39.451365" "2s2.2p4.(3P<2>).4f | 2[5]* | 9/2" "2s2.2p4.(3P<2>).6g | 2[6]  | 11/2" "" "" L1406
6560.836 6560.832 15241.96 100 "" "" "" "37.6415915   -   39.5313548" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "2s2.2p4.(3P<1>).6g | 2[4]  | 9/2" "" "" L1406
6561.097 6561.099 15241.35 100 "" "" "" "37.6416644   -   39.5313508" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "2s2.2p4.(3P<1>).6g | 2[4]  | 7/2" "" "" L1406
