Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4000.3826 4000.38269 24997.6091 4 "" "" "" "22.30870487   -   25.40801331" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P).6p    | 2S*   | 1/2" "" "" L2634
4002.2691 4002.26885 24985.8264 3 600000.0 0.0029 C "18.25395203   -   21.351799846" "3s2.3p4.(3P).3d    | 4P    | 1/2" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "" T926 L2634
4006.4944 4006.4951 24959.476 10 "" "" "" "23.570177223  -   26.66475730" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(1S).5s    | 2S    | 1/2" "" "" L11520
4008.765 4008.76124 24945.34 2 "" "" "" "19.680048951  -   22.77287965" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(3P).4d    | 4D    | 7/2" "" "" L14821
4012.3423 4012.34312 24923.098 12 3100000.0 0.0075 D "19.61030789   -   22.700377572" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" T1240 L11520
4014.99069 4014.99069 24906.658 145 10500000.0 0.0254 A "16.40650186   -   19.49453389" "3s2.3p4.(3P).3d    | 4D    | 7/2" "3s2.3p4.(3P).4p    | 4D*   | 7/2" "" T926 L11520
4020.9796 4020.9791 24869.562 7 "" "" "" "23.58132422   -   26.66475730" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "3s2.3p4.(1S).5s    | 2S    | 1/2" "" "" L11520
4032.5161 4032.51714 24798.413 6 7500000.0 0.0091 B "19.762261075  -   22.83687165" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(3P).4d    | 4D    | 1/2" "" T926 L11520
4034.94881 4034.94895 24783.4616 95 98000000.0 0.12 D "19.61030789   -   22.683065435" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 1/2" "" T1240 L11520
4035.923 4035.91775 24777.48 1bl,G? "" "" "" "23.162238164  -   26.23425812" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P<1>).6f | 2[4]* | 9/2" "" "" L14821
4036.5997 4036.59995 24773.3258 50 4400000.0 0.016 B "18.426549103  -   21.498049871" "3s2.3p4.(1D).4s    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "" T926 L11520
4039.945 4039.94491 24752.812 18 1200000.0 0.0039 B "16.42557623   -   19.49453389" "3s2.3p4.(3P).3d    | 4D    | 5/2" "3s2.3p4.(3P).4p    | 4D*   | 7/2" "" T926 L11520
4043.332 4043.32299 24732.08 3 400000.0 0.0015 C "18.06063988   -   21.127033505" "3s2.3p4.(3P).3d    | 2P    | 3/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L14821
4044.03558 4044.0356 24727.7748 288 40600000.0 0.0995 B "18.426549103  -   21.492402391" "3s2.3p4.(1D).4s    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "" T926 L11520
4046.8198 4046.81904 24710.762 8 1600000.0 0.0039 C "18.28805528   -   21.351799846" "3s2.3p4.(3P).3d    | 4P    | 3/2" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "" T926 L11520
4048.6237 4048.62419 24699.752 10 "" "" "" "19.762261075  -   22.82463962" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(1D).3d    | 2S    | 1/2" "" "" L11520
4052.266 4052.26488 24677.551 5 "" "" "" "22.802509716  -   25.86213691" "3s2.3p4.(3P).5s    | 2P    | 1/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L11520
4054.0654 4054.06537 24666.5975 178 67000000.0 0.33 E "20.74354606   -   23.80181442" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "" T926 L11520
4054.685 4054.69228 24662.83 1 "" "" "" "19.64258207   -   22.700377572" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" "" L14821
4058.818 4058.82135 24637.71 1 20000.0 9.9e-05 E "16.81247225   -   19.867157038" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" T926 L14821
4066.2594 4066.25909 24592.6269 3 1100000.0 0.0027 C "19.762261075  -   22.81135843" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(3P).4d    | 4D    | 3/2" "" T926 L2634
4071.9332 4071.9333 24558.36 10 "" "" "" "23.619908872  -   26.66475730" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(1S).5s    | 2S    | 1/2" "" "" L11520
4073.1541 4073.15411 24550.9987 708 58000000.0 0.14 B "18.454114013  -   21.498049871" "3s2.3p4.(1D).4s    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "" T926 L11520
4073.5342 4073.53422 24548.7079 178 "" "" "" "19.549011775  -   22.592663597" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" "" L11520
4077.7792 4077.7792 24523.1519 85 80000000.0 0.2 D "19.64258207   -   22.683065435" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "3s2.3p4.(3P).5s    | 4P    | 1/2" "" T1240 L11520
4078.0943 4078.09403 24521.2573 47 99000000.0 0.12 D "19.762261075  -   22.802509716" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(3P).5s    | 2P    | 1/2" "" T1240 L11520
4080.72518 4080.72517 24505.4481 100 11900000.0 0.0198 B "18.454114013  -   21.492402391" "3s2.3p4.(1D).4s    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "" T926 L11520
4081.78796 4081.78794 24499.0676 85 "" "" "" "22.82463962   -   25.86213691" "3s2.3p4.(1D).3d    | 2S    | 1/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L11520
4081.8543 4081.85421 24498.6697 40 "" "" "" "22.82463962   -   25.86208761" "3s2.3p4.(1D).3d    | 2S    | 1/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 1/2" "" "" L11520
4083.53931 4083.53932 24488.5606 76 2900000.0 0.0072 B+ "16.64385439   -   19.680048951" "3s2.3p4.(3P).4s    | 4P    | 5/2" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "" T926 L11520
4084.619 4084.62904 24482.09 1 "" "" "" "23.258113744  -   26.29349829" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<0>).6f | 2[3]* | 7/2" "" "" L14821
4098.2915 4098.29181 24400.4116 28 "" "" "" "22.83687165   -   25.86213691" "3s2.3p4.(3P).4d    | 4D    | 1/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L11520
4098.3597 4098.35861 24400.006 12 "" "" "" "22.83687165   -   25.86208761" "3s2.3p4.(3P).4d    | 4D    | 1/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 1/2" "" "" L11520
4100.6124 4100.61263 24386.601 11 "" "" "" "19.801086565  -   22.82463962" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(1D).3d    | 2S    | 1/2" "" "" L11520
4104.99043 4104.99035 24360.5929 158 130000000.0 0.22 D "19.680048951  -   22.700377572" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" T1240 L11520
4105.06995 4105.06996 24360.1209 447 120000000.0 0.23 D "19.49453389   -   22.514803938" "3s2.3p4.(3P).4p    | 4D*   | 7/2" "3s2.3p4.(3P).5s    | 4P    | 5/2" "" T1240 L11520
4113.9756 4113.97535 24307.3877 513bl 1100000.0 0.0028 B "16.74852891   -   19.762261075" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" T926 L11520
4115.648 4115.64942 24297.51 2 "" "" "" "21.36689104   -   24.37939735" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L14821
4117.537 4117.53634 24286.363 8 "" "" "" "21.36689104   -   24.37801682" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<0>).4f | 2[3]* | 7/2" "" "" L11520
4125.221 4125.22463 24241.12 1 "" "" "" "19.261084163  -   22.26659804" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "3s2.3p4.(1S).3d    | 2D    | 5/2" "" "" L14821
4129.8045 4129.80448 24214.221 18 1400000.0 0.0027 B "18.495869040  -   21.498049871" "3s2.3p4.(3P).3d    | 2F    | 7/2" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "" T926 L11520
4130.8469 4130.84701 24208.111 12 "" "" "" "19.801086565  -   22.802509716" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(3P).5s    | 2P    | 1/2" "" "" L11520
4132.88864 4132.88871 24196.1515 891 85000000.0 0.11 B "18.426549103  -   21.42648951" "3s2.3p4.(1D).4s    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2P*   | 1/2" "" T926 L11520
4145.414 4145.4129 24123.045 5 "" "" "" "23.67388033   -   26.66475730" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "3s2.3p4.(1S).5s    | 2S    | 1/2" "" "" L11520
4148.547 4148.55131 24104.83 2 18000.0 4.6e-05 E "16.81247225   -   19.801086565" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "" T997n L14821
4154.08 4154.08 24072.72 0.5 "" "" "" "23.258113744  -   26.242751" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<1>).6f | 2[3]* | 7/2" "" "" L14821
4157.2572 4157.25723 24054.3211 60 39000000.0 0.1 D "19.61030789   -   22.592663597" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" T1240 L11520
4163.68 4163.6821 24017.2 0 "" "" "" "23.258113744  -   26.23586749" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(3P<1>).6f | 2[4]* | 7/2" "" "" L14821
4170.1448 4170.14298 23979.983 6 "" "" "" "21.36689104   -   24.34003126" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L11520
4179.5427 4179.54297 23926.063 13 1200000.0 0.0021 C+ "16.64385439   -   19.61030789" "3s2.3p4.(3P).4s    | 4P    | 5/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
4180.4751 4180.47495 23920.7263 50 13000000.0 0.034 D "19.549011775  -   22.514803938" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "3s2.3p4.(3P).5s    | 4P    | 5/2" "" T1240 L11520
4184.7699 4184.7698 23896.176 4 "" "" "" "23.702008951  -   26.66475730" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(1S).5s    | 2S    | 1/2" "" "" L2634
4190.8313 4190.83163 23861.614 16 "" "" "" "20.74354606   -   23.702008951" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "" "" L11520
4201.072 4201.0723 23803.448 9 "" "" "" "21.42814610   -   24.37939735" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L11520
4202.7394 4202.73803 23794.005 10 "" "" "" "19.64258207   -   22.592663597" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" "" L11520
4203.15516 4203.15506 23791.651 59 2100000.0 0.011 C "16.81247225   -   19.762261075" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" T926 L11520
4204.5947 4204.59499 23783.505 18 "" "" "" "21.36689104   -   24.31566967" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<1>).4f | 2[4]* | 7/2" "" "" L11520
4211.13 4211.13171 23746.6 1 180000.0 0.00048 D "19.867157038  -   22.81135843" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(3P).4d    | 4D    | 3/2" "" T926 L14821
4212.136 4212.14502 23740.92 1 "" "" "" "21.36689104   -   24.31038415" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L14821
4216.041 4216.049 23718.93 2 "" "" "" "23.162238164  -   26.1030057" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P<2>).6f | 2[5]* | 9/2" "" "" L14821
4218.6185 4218.61853 23704.442 27 "" "" "" "20.74354606   -   23.682522355" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "" "" L11520
4219.853 4219.85304 23697.5079 59 36000000.0 0.096 D "19.762261075  -   22.700377572" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" T1240 L11520
4223.82619 4223.8263 23675.2164 76 69000000.0 0.092 D "19.867157038  -   22.802509716" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(3P).5s    | 2P    | 1/2" "" T1240 L11520
4227.7994 4227.79879 23652.967 16 "" "" "" "21.351799846  -   24.28439443" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "3s2.3p4.(1D).5s    | 2D    | 3/2" "" "" L11520
4228.17783 4228.17788 23650.8501 89 41000000.0 0.16 D "21.351799846  -   24.284131501" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "3s2.3p4.(1D).5s    | 2D    | 5/2" "" T1240 L11520
4229.34844 4229.34848 23644.3042 331 13100000.0 0.0527 A "16.74852891   -   19.680048951" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "" T926 L11520
4231.06 4231.05991 23634.739 26 "" "" "" "20.74354606   -   23.67388033" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "" "" L11520
4238.41262 4238.41268 23593.7388 269 11200000.0 0.0302 B "18.426549103  -   21.351799846" "3s2.3p4.(1D).4s    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "" T926 L11520
4244.835 4244.83904 23558.04 2 200000.0 0.00081 C "19.867157038  -   22.78797918" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(3P).4d    | 4D    | 5/2" "" T926 L14821
4256.8006 4256.80062 23491.821 8 2100000.0 0.0038 D "19.680048951  -   22.592663597" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" T1240 L11520
4257.861 4257.867 23485.97 1 "" "" "" "21.42814610   -   24.34003126" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L14821
4267.72732 4267.72743 23431.6749 288 16400000.0 0.0448 B "16.64385439   -   19.549011775" "3s2.3p4.(3P).4s    | 4P    | 5/2" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "" T926 L11520
4268.691 4268.69916 23426.38 3 "" "" "" "19.61030789   -   22.514803938" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 5/2" "" "" L14821
4268.931 4268.93735 23425.07 3h "" "" "" "20.74354606   -   23.64788005" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "" "" L14821
