Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4377.18361 4377.18363 22845.7401 209 20500000.0 0.0294 B "17.140027439  -   19.972538226" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "" T926 L11520
4380.4433 4380.44404 22828.74 11 "" "" "" "19.762261075  -   22.592663597" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" "" L11520
4380.89709 4380.89708 22826.3749 550 100400000.0 0.2889 A "16.81247225   -   19.64258207" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "" T926 L11520
4381.11114 4381.11122 22825.2597 794 "" "" "" "19.972538226  -   22.802509716" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(3P).5s    | 2P    | 1/2" "" "" L11520
4384.161 4384.1649 22809.377 5 "" "" "" "23.484470418  -   26.3124708" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).7d    | 4F    | 9/2" "" "" L11520
4384.9862 4384.9847 22805.089 14 1100000.0 0.0032 B "17.140027439  -   19.96749907" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L11520
4386.28851 4386.28854 22798.3182 117 "" "" "" "20.74354606   -   23.570177223" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "" "" L11520
4388.1981 4388.198 22788.397 5 "" "" "" "23.620386781  -   26.44578799" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).7d    | 2F    | 7/2" "" "" L2634
4395.857 4395.85439 22748.7 3 600000.0 0.0026 C "19.96749907   -   22.78797918" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(3P).4d    | 4D    | 5/2" "" T926 L14821
4399.033 4399.0322 22732.267 5 "" "" "" "23.84631466   -   26.66475730" "3s2.3p4.(1S).4p    | 2P*   | 1/2" "3s2.3p4.(1S).5s    | 2S    | 1/2" "" "" L11520
4401.33237 4401.33234 22720.3927 257 16000000.0 0.0465 B "16.44411446   -   19.261084163" "3s2.3p4.(3P).3d    | 4D    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "" T926 L11520
4402.2222 4402.22218 22715.8 8710 30400000.0 0.0662 B "16.40650186   -   19.222902151" "3s2.3p4.(3P).3d    | 4D    | 7/2" "3s2.3p4.(3P).4p    | 4P*   | 5/2" "" T926 L11520
4402.98 4402.99118 22711.89 2bl? "" "" "" "19.867157038  -   22.683065435" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 1/2" "" "" L14821
4406.1391 4406.1396 22695.607 18 "" "" "" "21.36689104   -   24.18078735" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L11520
4407.7072 4407.7074 22687.532 10 "" "" "" "23.514204395  -   26.3270998" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "3s2.3p4.(3P).7d    | 4F    | 7/2" "" "" L11520
4410.24 4410.2486 22674.51 0.5? "" "" "" "23.484470418  -   26.29574504" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).7d    | 4D    | 7/2" "" "" L14821
4414.1428 4414.14257 22654.455 3 6100000.0 0.024 B "18.33428084   -   21.143075448" "3s2.3p4.(3P).3d    | 4P    | 5/2" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "" T926 L2634
4422.1533 4422.15351 22613.418 47 3100000.0 0.018 B "16.45737782   -   19.261084163" "3s2.3p4.(3P).3d    | 4D    | 1/2" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "" T926 L11520
4427.2436 4427.2436 22587.4177 1514 81700000.0 0.36 A "16.74852891   -   19.549011775" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "" T926 L11520
4431.4324 4431.43252 22566.0667 661 56900000.0 0.335 A "16.81247225   -   19.61030789" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
4432.24001 4432.24001 22561.955 251 10900000.0 0.0321 B "16.42557623   -   19.222902151" "3s2.3p4.(3P).3d    | 4D    | 5/2" "3s2.3p4.(3P).4p    | 4P*   | 5/2" "" T926 L11520
4435.08256 4435.08275 22547.4946 120 "" "" "" "21.36689104   -   24.16242396" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L11520
4439.3633 4439.36297 22525.753 7 "" "" "" "21.36689104   -   24.15972864" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L2634
4440.054 4440.05556 22522.25 1 "" "" "" "23.162238164  -   25.95464012" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(1D<2>).4f | 2[4]* | 9/2" "" "" L14821
4440.70744 4440.70744 22518.9347 95 "" "" "" "21.492402391  -   24.28439443" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "3s2.3p4.(1D).5s    | 2D    | 3/2" "" "" L11520
4441.1251 4441.12568 22516.817 22 "" "" "" "21.492402391  -   24.284131501" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "3s2.3p4.(1D).5s    | 2D    | 5/2" "" "" L11520
4441.3678 4441.36762 22515.586 13 "" "" "" "19.801086565  -   22.592663597" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" "" L11520
4447.094 4447.09594 22486.592 5 "" "" "" "21.36689104   -   24.15487223" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "" "" L11520
4449.7074 4449.70805 22473.388 14 "" "" "" "21.498049871  -   24.28439443" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "3s2.3p4.(1D).5s    | 2D    | 3/2" "" "" L11520
4450.12793 4450.12799 22471.264 166 65000000.0 0.19 D "21.498049871  -   24.284131501" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "3s2.3p4.(1D).5s    | 2D    | 5/2" "" T1240 L11520
4450.77 4450.7693 22468.02 7 "" "" "" "21.42814610   -   24.21382629" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L11520
4457.8 4457.8016 22432.59 1 "" "" "" "23.162238164  -   25.94352386" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(1D<2>).4f | 2[3]* | 7/2" "" "" L14821
4460.136 4460.13051 22420.84 1h "" "" "" "23.08230349   -   25.86213691" "3s2.3p4.(3P).4d    | 4P    | 1/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L14821
4461.8077 4461.80897 22412.441 35 1500000.0 0.0067 B+ "16.44411446   -   19.222902151" "3s2.3p4.(3P).3d    | 4D    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 5/2" "" T926 L11520
4476.01475 4476.01481 22341.3025 347 29000000.0 0.0436 B "18.656521057  -   21.42648951" "3s2.3p4.(3P).3d    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2P*   | 1/2" "" T926 L11520
4483.06791 4483.06797 22306.1533 646 45500000.0 0.137 B "18.732439371  -   21.498049871" "3s2.3p4.(3P).3d    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "" T926 L11520
4492.2412 4492.24129 22260.6033 48 4600000.0 0.0093 B "18.732439371  -   21.492402391" "3s2.3p4.(3P).3d    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "" T926 L11520
4499.7993 4499.8002 22223.213 25 "" "" "" "21.62407061   -   24.37939735" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L11520
4504.1896 4504.1902 22201.5523 42 "" "" "" "21.42814610   -   24.18078735" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L11520
4504.34 4504.35123 22200.8 1h "" "" "" "19.762261075  -   22.514803938" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 5/2" "" "" L14821
4511.222 4511.2292 22166.94 2 "" "" "" "21.42814610   -   24.17649235" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L14821
4517.362 4517.3693 22136.82 1h,l "" "" "" "22.514803938  -   25.259414577" "3s2.3p4.(3P).5s    | 4P    | 5/2" "3s2.3p4.(3P).6p    | 2P*   | 3/2" "" "" L14821
4518.8032 4518.80236 22129.7531 4 "" "" "" "20.74354606   -   23.48728630" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "" "" L2634
4531.82258 4531.82247 22066.177 63 2100000.0 0.0043 B "18.615942491  -   21.351799846" "3s2.3p4.(3P).3d    | 2F    | 5/2" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "" T926 L11520
4536.7622 4536.76219 22042.1514 21 7400000.0 0.023 D "19.96749907   -   22.700377572" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" T1240 L11520
4538.9132 4538.9146 22031.706 13 "" "" "" "21.42814610   -   24.15972864" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L11520
4539.9827 4539.98306 22026.5155 4 "" "" "" "21.143075448  -   23.87401512" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "3s2.3p4.(3P).4d    | 2D    | 5/2" "" "" L2634
4545.1441 4545.14298 22001.503 10 "" "" "" "19.972538226  -   22.700377572" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(3P).5s    | 2P    | 3/2" "" "" L11520
4546.32581 4546.32587 21995.7839 1738 47100000.0 0.146 B "17.140027439  -   19.867157038" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" T926 L11520
4549.0331 4549.03321 21982.693 20 7700000.0 0.024 D "19.867157038  -   22.592663597" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" T1240 L11520
4562.2908 4562.29118 21918.813 7 "" "" "" "19.549011775  -   22.26659804" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "3s2.3p4.(1S).3d    | 2D    | 5/2" "" "" L11520
4565.0214 4565.0219 21905.702 37bl "" "" "" "21.62407061   -   24.34003126" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L11520
4565.6848 4565.68472 21902.5192 42 29000000.0 0.045 D "19.96749907   -   22.683065435" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 1/2" "" T1240 L11520
4574.176 4574.1728 21861.86 2 "" "" "" "19.972538226  -   22.683065435" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(3P).5s    | 4P    | 1/2" "" "" L14821
4580.63257 4580.63262 21831.046 871 80000000.0 0.25 B "17.265833524  -   19.972538226" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "" T926 L11520
4589.181 4589.17642 21790.38 3 300000.0 0.0019 C "17.265833524  -   19.96749907" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L14821
4591.18366 4591.18365 21780.8756 25704 66400000.0 0.315 A "18.426549103  -   21.127033505" "3s2.3p4.(1D).4s    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L11520
4594.7346 4594.7353 21764.0427 4 "" "" "" "19.61030789   -   22.30870487" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(1S).3d    | 2D    | 3/2" "" "" L2634
4600.05091 4600.05098 21738.89 182 6700000.0 0.021 B "18.656521057  -   21.351799846" "3s2.3p4.(3P).3d    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "" T926 L11520
4601.31 4601.30754 21732.95 1h "" "" "" "20.74354606   -   23.438088809" "3s2.3p4.(1S).4s    | 2S    | 1/2" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "" "" L14821
4610.85816 4610.85819 21687.9368 2291 78900000.0 0.335 A "18.454114013  -   21.143075448" "3s2.3p4.(1D).4s    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "" T926 L11520
4612.5349 4612.5361 21680.053 9 "" "" "" "21.62407061   -   24.31205385" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L11520
4615.39 4615.4031 21666.63 1h "" "" "" "21.62407061   -   24.31038415" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L14821
4638.53098 4638.53097 21558.5494 148 7100000.0 0.023 A "18.454114013  -   21.127033505" "3s2.3p4.(1D).4s    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L11520
4659.20495 4659.20495 21462.8893 1445 89200000.0 0.145 B "17.140027439  -   19.801086565" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "" T926 L11520
4667.566 4667.56986 21424.44 1 "" "" "" "19.61030789   -   22.26659804" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(1S).3d    | 2D    | 5/2" "" "" L14821
4682.8074 4682.80715 21354.7113 5 "" "" "" "19.867157038  -   22.514803938" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 5/2" "" "" L2634
4683.5864 4683.58637 21351.1595 21 800000.0 0.0026 C+ "18.495869040  -   21.143075448" "3s2.3p4.(3P).3d    | 2F    | 7/2" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "" T926 L11520
4704.6737 4704.6732 21255.459 15 "" "" "" "21.67504277   -   24.31038415" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L11520
4712.1411 4712.14172 21221.7758 14 500000.0 0.0012 C+ "18.495869040  -   21.127033505" "3s2.3p4.(3P).3d    | 2F    | 7/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L11520
4722.9122 4722.91155 21173.377 32 15000000.0 0.05 D "19.96749907   -   22.592663597" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" T1240 L11520
4728.19041 4728.19038 21149.7407 23442 58800000.0 0.197 A "17.140027439  -   19.762261075" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" T926 L11520
4731.995 4731.99488 21132.733 7 "" "" "" "19.972538226  -   22.592663597" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "3s2.3p4.(3P).5s    | 4P    | 3/2" "" "" L11520
4733.37668 4733.3767 21126.5673 200 6700000.0 0.015 B "18.732439371  -   21.351799846" "3s2.3p4.(3P).3d    | 2D    | 5/2" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "" T926 L11520
4737.2302 4737.23018 21109.3816 1000 58000000.0 0.13 A "16.64385439   -   19.261084163" "3s2.3p4.(3P).4s    | 4P    | 5/2" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "" T926 L11520
4744.52 4744.522 21076.96 0? "" "" "" "23.63042494   -   26.2436324" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<1>).6f | 2[3]* | 5/2" "" "" L14821
4758.55 4758.55028 21014.805 5 "" "" "" "22.802509716  -   25.40801331" "3s2.3p4.(3P).5s    | 2P    | 1/2" "3s2.3p4.(3P).6p    | 2S*   | 1/2" "" "" L2634
4766.19677 4766.19681 20981.0895 2344 64000000.0 0.44 B "17.265833524  -   19.867157038" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" T926 L11520
4787.488 4787.4863 20887.78 6 "" "" "" "21.62407061   -   24.21382629" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L11520
4793.4214 4793.42144 20861.926 17 "" "" "" "19.680048951  -   22.26659804" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(1S).3d    | 2D    | 5/2" "" "" L11520
4793.93 4793.93 20859.71 0h "" "" "" "24.19224889   -   26.778524" "3s2.3p4.(3P<2>).4f | 2[5]* | 11/2" "3s2.3p4.(3P<2>).8g | 2[6]  | 13/2" "" "" L14821
4795.05 4795.051 20854.84 0h "" "" "" "24.19283498   -   26.778505" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P<2>).8g | 2[6]  | 11/2" "" "" L14821
4807.36348 4807.36342 20801.4229 1820 78000000.0 0.27 A "16.64385439   -   19.222902151" "3s2.3p4.(3P).4s    | 4P    | 5/2" "3s2.3p4.(3P).4p    | 4P*   | 5/2" "" T926 L11520
4842.55 4842.55 20650.27 0.5? "" "" "" "23.54889313   -   26.109201" "3s2.3p4.(3P).4d    | 2P    | 1/2" "3s2.3p4.(3P<2>).6f | 2[1]* | 3/2" "" "" L14821
4849.16386 4849.16392 20622.112 832 84900000.0 0.15 B "16.74852891   -   19.30534490" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "" T926 L11520
4849.3535 4849.3522 20621.305 9 "" "" "" "21.62407061   -   24.18078735" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L11520
4857.513 4857.5122 20586.67 1 "" "" "" "21.62407061   -   24.17649235" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L14821
4867.2701 4867.26972 20545.398 83 15000000.0 0.08 D "19.96749907   -   22.514803938" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(3P).5s    | 4P    | 5/2" "" T1240 L11520
4868.915 4868.9156 20538.457 17 "" "" "" "19.762261075  -   22.30870487" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(1S).3d    | 2D    | 3/2" "" "" L11520
4878.482 4878.4823 20498.18 4 "" "" "" "21.351799846  -   23.89325004" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "3s2.3p4.(3P).4d    | 2D    | 3/2" "" "" L11520
4881.22627 4881.22632 20486.6555 2239 82300000.0 0.441 A "17.140027439  -   19.680048951" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "" T926 L11520
4883.6059 4883.6066 20476.673 21 "" "" "" "21.67504277   -   24.21382629" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L11520
4889.6256 4889.6262 20451.464 8 "" "" "" "21.62407061   -   24.15972864" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L11520
4890.40721 4890.40725 20448.195 288 19000000.0 0.068 C "17.265833524  -   19.801086565" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "" T926 L11520
4906.12088 4906.12091 20382.702 107 3700000.0 0.018 B+ "18.615942491  -   21.143075448" "3s2.3p4.(3P).3d    | 2F    | 5/2" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "" T926 L11520
4915.6871 4915.68661 20343.036 7 "" "" "" "21.351799846  -   23.87401512" "3s2.3p4.(1D).4p    | 2P*   | 3/2" "3s2.3p4.(3P).4d    | 2D    | 5/2" "" "" L11520
4934.58593 4934.58594 20265.1249 251 14400000.0 0.0526 A "16.74852891   -   19.261084163" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "" T926 L11520
4937.461 4937.46335 20253.33 3 700000.0 0.0026 C+ "18.615942491  -   21.127033505" "3s2.3p4.(3P).3d    | 2F    | 5/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L14821
4944.3006 4944.3011 20225.308 19 "" "" "" "19.801086565  -   22.30870487" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(1S).3d    | 2D    | 3/2" "" "" L11520
4950.7812 4950.7794 20198.832 6 "" "" "" "19.762261075  -   22.26659804" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(1S).3d    | 2D    | 5/2" "" "" L11520
4954.306 4954.30538 20184.46 2 600000.0 0.0011 D "17.140027439  -   19.64258207" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "" T926 L14821
4956.4924 4956.494 20175.558 8 "" "" "" "21.67504277   -   24.17649235" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L11520
4960.862 4960.87069 20157.79 1 "" "" "" "23.438088809  -   25.93733151" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "3s2.3p4.(3P).6d    | 4P    | 5/2" "" "" L14821
4966.4649 4966.46491 20135.0463 891 39400000.0 0.291 A "17.265833524  -   19.762261075" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" T926 L11520
4973.54728 4973.54722 20106.3738 100 9700000.0 0.036 B+ "16.81247225   -   19.30534490" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "" T926 L11520
4981.414 4981.42261 20074.62 0.5 "" "" "" "23.070289982  -   25.55922152" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(3P<1>).5f | 2[4]* | 7/2" "" "" L14821
4992.11 4992.12884 20031.6 0.5? "" "" "" "22.592663597  -   25.076257320" "3s2.3p4.(3P).5s    | 4P    | 3/2" "3s2.3p4.(3P).6p    | 4P*   | 3/2" "" "" L14821
4994.84 4994.84879 20020.65 0.5 "" "" "" "22.82463962   -   25.30688090" "3s2.3p4.(1D).3d    | 2S    | 1/2" "3s2.3p4.(1D).5p    | 2D*   | 3/2" "" "" L14821
4995.139 4995.1483 20019.46 2 "" "" "" "23.570177223  -   26.05226965" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "3s2.3p4.(3P).6d    | 2D    | 5/2" "" "" L14821
4998.176 4998.18693 20007.3 2 "" "" "" "22.94864813   -   25.42923159" "3s2.3p4.(3P).4d    | 4F    | 9/2" "3s2.3p4.(3P<2>).5f | 2[5]* | 11/2" "" "" L14821
5010.73146 5010.73146 19957.1661 355 15100000.0 0.0853 B "16.74852891   -   19.222902151" "3s2.3p4.(3P).4s    | 4P    | 3/2" "3s2.3p4.(3P).4p    | 4P*   | 5/2" "" T926 L11520
5016.32 5016.331 19934.94 1h "" "" "" "23.63042494   -   26.1020361" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<2>).6f | 2[2]* | 5/2" "" "" L14821
5018.56194 5018.56198 19926.0268 7413 20700000.0 0.117 B "18.656521057  -   21.127033505" "3s2.3p4.(3P).3d    | 2D    | 3/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L11520
5019.0332 5019.0333 19924.156 14 1100000.0 0.0042 B "17.140027439  -   19.61030789" "3s2.3p4.(3P).4s    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
5026.179 5026.1952 19895.83 1 "" "" "" "21.42648951   -   23.89325004" "3s2.3p4.(1D).4p    | 2P*   | 1/2" "3s2.3p4.(3P).4d    | 2D    | 3/2" "" "" L14821
5032.103 5032.085 19872.41 1h "" "" "" "23.63042494   -   26.0942982" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<2>).6f | 2[3]* | 5/2" "" "" L14821
5035.8 5035.8052 19857.8 0.5 "" "" "" "22.94864813   -   25.41070124" "3s2.3p4.(3P).4d    | 4F    | 9/2" "3s2.3p4.(3P<2>).5f | 2[4]* | 7/2" "" "" L14821
5039.17 5039.17518 19844.52 0.5bl "" "" "" "22.94864813   -   25.40905473" "3s2.3p4.(3P).4d    | 4F    | 9/2" "3s2.3p4.(3P<2>).5f | 2[4]* | 9/2" "" "" L14821
5043.822 5043.8259 19826.23 1 "" "" "" "22.77287965   -   25.231017595" "3s2.3p4.(3P).4d    | 4D    | 7/2" "3s2.3p4.(3P).6p    | 2D*   | 5/2" "" "" L14821
5046.52 5046.51145 19815.65 0.5w,bl "" "" "" "23.162238164  -   25.61906799" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P<0>).5f | 2[3]* | 5/2" "" "" L14821
5063.44827 5063.4483 19749.3872 398 22300000.0 0.171 B "16.81247225   -   19.261084163" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 4P*   | 3/2" "" T926 L11520
5089.06 5089.05423 19650.0 0.5 "" "" "" "23.11937815   -   25.55566971" "3s2.3p4.(3P).4d    | 4P    | 3/2" "3s2.3p4.(3P<1>).5f | 2[2]* | 5/2" "" "" L14821
5091.9136 5091.9138 19638.9819 45 "" "" "" "21.36689104   -   23.80181442" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "" "" L11520
5093.593 5093.6064 19632.51 1 "" "" "" "23.438088809  -   25.87220304" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "3s2.3p4.(3P).6d    | 4F    | 5/2" "" "" L14821
5097.265 5097.2783 19618.36 2 "" "" "" "23.619908872  -   26.05226965" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "3s2.3p4.(3P).6d    | 2D    | 5/2" "" "" L14821
5098.272 5098.28 19614.49 1 "" "" "" "23.620386781  -   26.05226965" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).6d    | 2D    | 5/2" "" "" L14821
5101.87 5101.86355 19600.65 0.5 "" "" "" "23.484470418  -   25.91464514" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).6d    | 2F    | 7/2" "" "" L14821
5122.9075 5122.9076 19520.1651 5 "" "" "" "23.87401512   -   26.29420710" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<0>).6f | 2[3]* | 5/2" "" "" L2634
5124.02 5124.02421 19515.94 0.5* "" "" "" "22.683065435  -   25.102730005" "3s2.3p4.(3P).5s    | 4P    | 1/2" "3s2.3p4.(3P).6p    | 4D*   | 3/2" "" "" L14821
5124.02 5124.03566 19515.94 0.5* "" "" "" "22.81135843   -   25.231017595" "3s2.3p4.(3P).4d    | 4D    | 3/2" "3s2.3p4.(3P).6p    | 2D*   | 5/2" "" "" L14821
