obs_wl_air(A)	unc_obs_wl	intens	Aki(s^-1)	fik	Acc	Type
4649.9040	0.0010	700				
4652.101	0.020	300				
4653.699	0.020	500				
4656.3936	0.0004	3000				
4661.1054	0.0004	1500				
4663.092	0.020	400				
4663.518	0.020	200				
4666.654	0.020	500				
4667.3643	0.0020	1000				
4670.8840	0.0010	700				
4678.2180	0.0010	3000				
4678.6107	0.0020	500				
4679.1350	0.0010	1500				
4680.3670	0.0020	1000				
4681.200	0.020	500				
4681.930	0.020	200				
4682.146	0.020	200				
4682.910	0.020	100				
4683.238	0.020	50				
4683.764	0.020	300				
4687.6710	0.0010	1000				
4688.191	0.020	20				
4691.580	0.020	150				
4695.363	0.020	200				
4696.943	0.020	50				
4700.469	0.020	50				
4702.5305	0.0020	1500	1.62e+05	5.4e-04	C	
4704.3949	0.0004	15000	2.10e+06	1.16e-02	C+	
4708.8594	0.0020	12000	3.26e+06	1.08e-02	C+	
4710.0650	0.0020	10000	4.09e+06	4.53e-03	C+	
4710.4881	0.0020	300				
4712.0633	0.0020	15000				
4712.1406	0.0020	150*				
4712.1406	0.0020	150*				
4712.800	0.020	100				
4714.3397	0.0020	700				
4715.1248	0.0020	300				
4715.2580	0.0020	300				
4715.3440	0.0010	15000				
4717.6085	0.0020	700				
4721.5337	0.0020	700				
4722.150	0.020	50				
4722.714	0.020	150				
4723.810	0.020	700*				
4723.810	0.020	700*				
4724.162	0.020	50				
4725.1450	0.0010	700				
4749.5754	0.0004	3000				
4750.6826	0.0020	300				
4751.802	0.020	300				
4752.7320	0.0004	5000				
4753.123	0.020	10				
4754.440	0.020	1000				
4758.7280	0.0010	1500				
4780.3380	0.0010	3000				
4780.884	0.020	300				
4781.239	0.020	20				
4784.022	0.020	20				
4788.9258	0.0010	10000				
4789.5982	0.0020	1000				
4790.2195	0.0020	5000				
4790.728	0.020	300				
4800.1110	0.0010	150				
4801.076	0.020	20				
4802.363	0.020	100				
4803.225	0.020	10				
4809.500	0.020	100				
4810.0640	0.0004	1500				
4810.6392	0.0020	1000				
4814.338	0.020	500				
4816.900	0.020	10				
4817.6386	0.0004	3000				
4818.7847	0.0020	1500				
4819.937	0.020	700				
4821.9218	0.0020	3000				
4823.1725	0.0020	1000				
4823.370	0.020	500				
4825.529	0.020	500				
4827.3380	0.0010	10000				
4827.5870	0.0010	3000				
4829.288	0.020	50				
4837.3139	0.0004	5000				
4842.566	0.020	100				
4842.941	0.020	500				
4845.145	0.020	150				
4845.767	0.020	50				
4849.530	0.020	300				
4851.501	0.020	600				
4852.6550	0.0010	1000				
4859.604	0.020	150				
4863.0810	0.0020	1000				
4864.3729	0.0020	300				
4865.5065	0.0020	1000				
4866.4760	0.0010	800				
4867.0189	0.0020	700				
4868.2766	0.0020	700				
4883.403	0.020	150				
4884.9170	0.0004	10000	4.15e+05	2.08e-03	C+	
4885.0971	0.0020	1000	1.02e+05	3.66e-04	C	
4888.365	0.020	50				
4892.0900	0.0010	5000				
4892.228	0.020	100				
4897.924	0.020	700				
4899.013	0.020	500				
4928.2350	0.0010	700				
4930.944	0.020	500				
4939.0410	0.0010	1000				
4944.9870	0.0010	1000				
4955.3905	0.0020	1500	2.69e+05	9.9e-04	C	
4957.0335	0.0004	10000	1.06e+06	6.53e-03	C+	
4957.1220	0.0010	1500	3.41e+05	2.09e-03	C+	
4973.5555	0.0020	1000				
4974.760	0.020	500				
4975.961	0.020	100				
4979.625	0.020	50				
4994.9300	0.0010	1500				
4996.209	0.020	20				
4997.482	0.020	150				
4998.502	0.020	100				
5000.395	0.020	30				
5003.561	0.020	20				
5005.1587	0.0004	5000	4.37e+05	2.30e-03	C+	
5005.3467	0.0030	500	1.53e+05	5.7e-04	C	
5011.0030	0.0010	250				
5015.187	0.020	50				
5022.8700	0.0010	250				
5031.3484	0.0010	2500	1.34e+06	5.10e-03	C+	
5031.5087	0.0030	20	9.8e+04	2.66e-04	C	
5036.0016	0.0030	350	2.08e+05	5.7e-04	C	
5037.5927	0.0030	30	2.26e+05	8.6e-04	C	
5037.7512	0.0004	5000	4.44e+06	2.17e-02	C+	
