Observed Rel.
6213.8758 1500
6217.2812 10000
6225.735 500
6246.7294 1000
6249.593 50
6258.7884 1000
6266.4952 10000
6273.0141 700
6276.0327 500
6293.7447 1000
6304.7893 1000
6313.6855 1500
6328.1646 3000
6330.8894 1500
6334.4276 10000
6351.8532 1000
6364.9963 1000
6382.9914 10000
6401.076 1000
6402.248 20000
6409.7469 1500
6421.7044 1000
6444.7118 1500
6506.5277 15000
6532.8824 1000
6598.9528 10000
6602.9007 1000
6640.0095 100
6640.8 50
6652.0925 1500
6666.892 1000
6678.2766 5000
6717.043 700
6738.032 700
6759.5821 150
6929.4672 100000
